,Baseline,Loss-Add,Loss-Weight,Loss-Suppress,Forecast-Add,Forecast-Weight
Baseline,1.0,0.9645980082891913,0.810122080476451,0.15882300838818997,0.0,0.00030092613327825646
Loss-Add,0.9645980082891913,1.0,0.9979907440510933,0.6147220490643044,0.0,0.0077018431311632884
Loss-Weight,0.810122080476451,0.9979907440510933,1.0,0.8653138096718251,0.0,0.03210412358243431
Loss-Suppress,0.15882300838818997,0.6147220490643044,0.8653138096718251,1.0,0.0,0.42509477796252004
Forecast-Add,0.0,0.0,0.0,0.0,1.0,0.0
Forecast-Weight,0.00030092613327825646,0.0077018431311632884,0.03210412358243431,0.42509477796252004,0.0,1.0
