experiment_level,device,lr,epochs,batch_size,dataset,save_logs,hidden_dim,num_layers,is_logical,l_factor,decision_tree,constrains_handler,test_rate,true_positive,true_negative,false_positive,false_negative,recall,specificity,precision,balanced_accuracy,FPR,ROC_AUC,decision_boundary,model,train_loop,dt_max_depth,dt_attribute_list,model_variant,constrains_type
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.8578914393119553,14968,94,49,2446,0.859538302514724,0.6573426572966893,0.9967370313637898,0.7584404799057066,0.3426573426333806,0.8079509212505652,0.0029686326161026,NodeOCGINLossConstrains,train_node_ocgin_weighting,4.0,"node_features, node_degree, clustering_coefficient",logic_weight,loss
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.9921398872244688,17414,5,138,0,0.9999999999994256,0.0349650349625898,0.9921376481307018,0.5174825174810078,0.96503496496748,0.5177222570699084,4.5236112100610637e-07,NodeOCGINLossConstrains,train_node_ocgin_supression,4.0,"node_features, node_degree, clustering_coefficient",logic_ignore_sus,loss
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.9918551005297032,17414,0,143,0,0.9999999999994256,0.0,0.9918551005291384,0.4999999999997128,0.9999999999300698,0.5034679917532794,0.0008981009596027,NodeOCGINLossConstrains,train_node_ocgin_supression,4.0,"node_features, node_degree, clustering_coefficient",logic_ignore_sus,loss
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.9432135330637352,16426,134,9,988,0.9432640404267008,0.9370629369974082,0.9994523881953152,0.9401634887120544,0.0629370629326617,0.9251488433468448,0.3078925311565399,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,4.0,"node_features, node_degree, clustering_coefficient",logic_forecast_add,inference
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.9886654895483284,17358,0,143,56,0.996784196622834,0.0,0.9918290383400996,0.498392098311417,0.9999999999300698,0.4872006367354937,0.4378477931022644,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,4.0,"node_features, node_degree, clustering_coefficient",logic_forecast_add,inference
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.4377171498547588,7578,107,36,9836,0.4351671069252124,0.7482517481994229,0.995271867610986,0.5917094275623176,0.2517482517306469,0.5933496559716842,0.0025863018818199,NodeOCGINLossConstrains,train_node_ocgin_weighting,4.0,"node_features, node_degree, clustering_coefficient",logic_forecast_weight,inference
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.5581249644016631,9668,131,12,7746,0.5551854829444383,0.9160839160198542,0.9987603305774804,0.7356346994821462,0.0839160839102156,0.7974851036181001,0.0003879899450112,NodeOCGINLossConstrains,train_node_ocgin_weighting,4.0,"node_features, node_degree, clustering_coefficient",logic_forecast_weight,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLFuzzyBasedHandler,0.0185680924987184,184,142,1,17230,0.0105662110945155,0.993006992937552,0.9945945945408328,0.5017866020160338,0.0069930069925179,0.501782385525351,0.0132509851828217,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_add,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLDistanceBasedHandler,0.9896337643105314,17261,114,29,153,0.9912139657740948,0.7972027971470487,0.9983227299010998,0.8942083814605717,0.2027972027830211,0.902079831274732,0.0093782236799597,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_add,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLFuzzyBasedHandler,0.0086005581819217,8,143,0,17406,0.0004594004823702,0.9999999999300698,0.99999999875,0.50022970020622,0.0,0.5002297002411853,1.5202598291352842e-08,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_weight,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLDistanceBasedHandler,0.0089423022156404,14,143,0,17400,0.0008039508441479,0.9999999999300698,0.9999999992857144,0.5004019753871088,0.0,0.5000574250602963,2.768073770198498e-08,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_weight,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLFuzzyBasedHandler,0.0081448994702967,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.5,0.0006390428752638,NodeOCGINLossConstrains,train_node_ocgin_supression,3.0,"node_features, node_degree, clustering_coefficient",logic_ignore_sus,loss
